"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"London Met"	29.9	79.6010007056257	74.2439774474628	2.23808906742689	21.5196676145097	46.2333825701624	4.31788366054753	238.849586776859	66.9315967593067	116	2015	"Million"	"Yes"
"Cambridge"	100	92.3585556160406	90.5854809437387	9.90998283051263	11.3140681559558	89.3025447690858	5.53638859672966	601.994866529773	72.6728237946331	1	2016	"Russell"	"No"
"Oxford"	97.5	93.33991039939	92.0331681280976	10	10.6264909452929	82.7666511411271	6.72883765647478	572.574003466206	70.7802139037433	2	2016	"Russell"	"No"
"St Andrews"	91.8	92.3336566440349	92.2428238944918	7.87508867667121	11.422546392674	78.4962406015038	6.93172192680638	517.257601351351	74.6177750155376	3	2016	"None"	"No"
"Surrey"	87.7	90.5105893743193	90.3814133591481	7.16403666358516	14.009861732613	82.0762368207624	6.15045221916189	424.116053169735	76.6974334140436	4	2016	"None"	"No"
"Bath"	85.9	91.4475352112676	93.1835680751174	5.95140968728421	16.6721324669171	85.0271002710027	6.9472141659268	478.825087650954	74.9445855677863	5	2016	"None"	"No"
"Warwick"	84.6	89.1699464524766	89.2013386880857	8.46002175975431	12.6365729803125	78.324403312226	5.94415635834954	482.173345759558	71.7133204633205	6	2016	"Russell"	"No"
"Durham"	84.6	90.2242256471644	90.5326152004787	5.76954419363988	14.9042956535694	79.7356828193832	6.73591731981156	524.424618045555	73.247096156149	6	2016	"Russell"	"No"
"Imperial College"	84.3	88.3817233809001	87.2048325096101	7.75960704998555	11.3282724421432	89.9476439790576	5.71808725801791	568.328919491525	66.8811696163571	8	2016	"Russell"	"No"
"Exeter"	83.8	90.6654555617664	91.4863051984349	6.65442507725197	15.6680232056097	80.1576263328697	6.64893441624606	463.349576755891	76.6588176072487	9	2016	"Russell"	"No"
"Lancaster"	82.1	88.3230769230769	88.9571023876973	8.11752009976558	13.7856432197111	78.6666666666667	5.0590590869035	435.747704416266	71.773088139987	10	2016	"1994"	"No"
"Loughborough"	81.2	88.140696347032	89.2062523827678	6.11736849507136	15.0359005134575	79.9603174603175	6.25860327553069	397.258293166997	75.6288282797501	11	2016	"1994"	"No"
"UCL"	81	86.1833701699565	85.7598293203292	8.73777529756693	10.2856178659271	80.9221902017291	6.58864881152844	502.120235426011	61.8158103732666	12	2016	"Russell"	"No"
"London School of Economics"	80.5	82.6956980177141	82.879222972973	7.56152875882946	11.4454559334508	82.1561338289963	4.52825176589304	532.748743718592	66.0784214092141	13	2016	"Russell"	"No"
"Southampton"	76.2	87.6218891791558	86.6429947701624	6.9135372896603	12.0402324629314	77.8301886792453	6.52794404181935	410.934241550956	67.9001542020046	14	2016	"Russell"	"No"
"Coventry"	75.7	92.6751996857405	91.0880041906758	4.44897959183673	14.7049316107396	71.7337307501242	6.70634873694532	309.764790350373	81.3538800798069	15	2016	"Alliance"	"Yes"
"Kent"	75.5	88.6671936758894	90.7041622760801	4.90812495732332	13.0081533449523	75.6038647342995	6.52520177534995	362.83075221239	72.6229897179014	16	2016	"None"	"No"
"Birmingham"	75.1	90.1228320401643	89.6169824241041	7.35897186557263	15.5360998820706	84.4231328102296	6.38041052938398	426.350676818951	69.6085604536309	17	2016	"Russell"	"No"
"Heriot-Watt"	74.8	86.33643847487	87.1126516464471	7.76409900739528	16.9045392406534	72.7158948685857	6.11833892077262	413.368501529053	74.2490001738828	18	2016	"None"	"No"
"Sussex"	74.5	87.4931673530513	85.3878697117185	7.77706293871268	15.5727856605497	77.8798586572438	5.31735167258781	386.136788048553	67.5016489281967	19	2016	"1994"	"No"
"UEA"	74.2	91.5473831929999	92.3647486772487	4.26258117864379	13.6855030723322	70.9730621220451	6.76207198363613	407.584148727985	71.567517524137	20	2016	"None"	"No"
"Edinburgh"	74.2	85.0397384305835	82.1728501581823	9.12212756563209	12.2435328006629	78.1666032712058	6.0879238205004	484.112643080125	55.4287358306001	20	2016	"Russell"	"No"
"York"	73.4	88.8371734397678	85.9419448476052	7.03209637219607	14.7813412517367	74.7160493827161	4.97618831059458	437.251761102605	68.0068269300603	22	2016	"Russell"	"No"
"Leeds"	73.1	89.7721363456203	88.3924271229404	6.29581864227986	13.7206179111647	74.8654467168999	6.31914509356439	431.271241208896	71.0887211846402	23	2016	"Russell"	"No"
"Glasgow"	72.6	91.0496866606982	90.7213261648746	6.39424103211156	14.7669705497945	79.8198198198198	4.60083514810256	470.372398334937	66.6144930999462	24	2016	"Russell"	"No"
"Reading"	72	88.4925256581883	89.0200803212851	6.9951381227721	14.1640845797323	72.5266903914591	5.53016926048995	372.953478964402	69.8893651218859	25	2016	"None"	"No"
"SOAS"	71.4	89.3808586057503	87.4724409448819	6.53433517215142	10.8820669564497	62.1546961325967	6.71835748792271	406.535842293907	65.8985781990521	26	2016	"1994"	"No"
"Cardiff"	71.2	88.4195769493208	88.6416170634921	7.17380858346498	14.3384374761875	80.0937612693833	5.34545614911945	426.482208872458	69.3270387119217	27	2016	"Russell"	"No"
"Nottingham"	71.1	88.0563959660298	87.8956675508399	6.80789720252853	14.0413455089596	79.0213571235469	5.57527484957204	427.696470131887	67.6374362244898	28	2016	"Russell"	"No"
"Newcastle"	70.8	89.8170470492651	90.6600708800945	6.06395933654361	15.6282926121517	79.4011976047904	5.68776752273943	424.32249454016	71.5940160832546	29	2016	"Russell"	"No"
"Manchester"	70.8	85.9626757833151	84.7065294034692	7.93969369007612	13.2083853921738	75.5955056179775	5.01511627721433	435.078149367528	67.6640885225541	29	2016	"Russell"	"No"
"Falmouth"	70.4	84.4406258014875	81.4184615384616	6.06376404494382	21.4983389175293	72.3821989528796	6.51460674157303	309.536787564767	74.4776364382437	31	2016	"Guild"	"No"
"Leicester"	70.2	87.704625232294	88.7586633663366	7.53449006885039	12.2493740024512	73.997641509434	5.34357663400424	386.038814691152	68.6348983303025	32	2016	"1994"	"No"
"Aston"	70.1	86.4119384424063	88.5065257924176	6.82959584619703	16.0304859037954	76.3461538461538	5.56693572244813	368.837568510217	73.1753796365447	33	2016	"None"	"No"
"Strathclyde"	70.1	89.1744336569579	89.2683347713546	6.53702968557878	19.3232697736164	77.5165762507535	5.37646996372645	476.432058959005	65.7028591172152	33	2016	"None"	"No"
"Bristol"	69.7	88.9393892178249	84.0679339358056	5.28448201035979	13.7799088830762	80.3263403263403	6.3782341353595	486.515461282903	64.5006864702946	35	2016	"Russell"	"No"
"King's College London"	67.7	87.4444668413626	82.8835147118098	6.51758734227053	11.3249947046066	79.3609219486642	5.98384124570092	455.327970749543	62.3192849053551	36	2016	"Russell"	"No"
"City"	67.5	84.2683258533932	83.0756668481219	7.51224659604665	16.1611989016455	74.3718592964824	6.00682510209681	378.975113122172	68.8878840706036	37	2016	"None"	"No"
"Dundee"	67.4	91.8700099445944	90.9311326124075	5.939056870186	13.8994232738812	71.2382445141066	5.63134200869861	409.506955177744	71.0758628545392	38	2016	"None"	"No"
"Queen Mary"	67.4	85.6910994764398	85.7937971500419	7.25342851896061	12.2431417085477	70.1136363636364	5.12172711413093	410.601222307105	67.6553402131051	38	2016	"Russell"	"No"
"Royal Holloway"	67.3	88.9379006410257	88.0144230769231	5.0957035738042	15.2848934658932	62.2262773722628	4.87116514882376	398.119170984457	71.0336718332442	40	2016	"1994"	"No"
"Aberdeen"	66.8	86.3714208535927	86.4421621621622	5.40352499750569	13.4487219437088	74.9818181818182	5.96829026858992	446.4	64.8463039236939	41	2016	"None"	"No"
"Keele"	66.4	91.0553804592526	93.0346690679874	3.81058113873768	13.9382008540197	73.1499051233396	4.7890127997646	357.788807461692	76.1191205622635	42	2016	"None"	"No"
"Sheffield"	66.4	88.6570070980231	88.6668231979338	5.45381079495385	14.9975612243473	77.0854967116649	5.66898488557293	428.558327393681	67.9218118597876	42	2016	"Russell"	"No"
"University of the Arts London"	65	79.3601307926486	70.6597566471384	9.81788975312817	15.1170371652062	54.9738219895288	5.47380665173186	321.107214428858	70.3240414975192	44	2016	"None"	"No"
"Queen's, Belfast"	64.7	88.5245667991899	87.3275344931014	4.62435438789453	15.0695204336692	75.4436648782501	6.14321169087803	383.511011904762	71.2302287876059	45	2016	"Russell"	"No"
"Robert Gordon"	64.4	85.1716920893934	86.8246983676366	3.81617580061638	19.574576085818	81.0650887573965	5.14843134535368	384.648163962426	69.4963814389102	46	2016	"None"	"No"
"Essex"	64.2	88.0680381442194	89.3736593736594	3.61882447003431	15.0707738218397	66.9984686064319	5.07657285694743	312.805888767722	75.3247165922363	47	2016	"1994"	"No"
"Oxford Brookes"	64.1	88.4194447422017	88.102487135506	3.74930109960329	17.7068190969236	68.1063122923588	6.32037664203612	348.203590371277	75.0402333361928	48	2016	"Alliance"	"Yes"
"Portsmouth"	63.8	87.5516413649929	88.6728122565568	5.16687745532886	16.6672738627291	66.333998669328	6.77835057471264	309.392962664518	72.9896623376623	49	2016	"Alliance"	"Yes"
"Goldsmiths"	63.7	89.1764238936297	86.4261904761905	3.90922962173681	14.7646407562344	54.2185338865837	6.82261308692382	359.894581280789	67.7820696232713	50	2016	"1994"	"No"
"Nottingham Trent"	61.9	86.0752875566399	86.895629939563	4.5849512069851	17.1502245011302	64.1933815925543	5.44129746428112	309.544137796046	76.4052531085549	51	2016	"Alliance"	"Yes"
"Swansea"	61.7	86.4217030114227	88.3986710963455	4.78136506356068	15.3106736818714	79.2251544076362	5.71077415233464	326.246720270842	71.5300523734309	52	2016	"None"	"No"
"Brunel"	61.6	85.8004771199306	89.8230702515178	5.49557869650813	16.707464588026	60.2272727272727	4.60964252409077	351.577704298536	74.9775593633122	53	2016	"None"	"No"
"Gloucestershire"	61.3	86.0720064724919	85.3911917098445	5.15056269073036	19.8747153988003	58.0901856763926	7.68788497021662	316.545710267229	72.3768603597774	54	2016	"None"	"No"
"Hull"	61.3	89.616620831901	89.7358101135191	4.50792373501969	17.3694050199176	63.9344262295082	5.86313572099355	332.186156491832	72.4285812577405	54	2016	"None"	"No"
"Lincoln"	61.3	88.1887473673654	86.202004008016	4.32403117675914	18.0209556524811	67.4530831099196	4.356593763534	334.759796806967	72.5863949943847	54	2016	"Alliance"	"No"
"Bangor"	61	88.4994652406417	90.0727272727273	4.80079196825195	16.5269234826452	67.5502008032129	4.27694193965791	320.377844311377	75.9858702633269	57	2016	"None"	"No"
"Liverpool John Moores"	60.3	84.4978965602573	84.2191984166254	3.84017895557489	18.466640919973	61.7753029806748	7.44370806553845	344.323433115061	74.4501832227394	58	2016	"Alliance"	"Yes"
"Huddersfield"	60.2	86.0977373016618	85.1184655885671	4.14296863040049	18.0640093451979	69.6157735085946	5.22266558396177	332.703445605883	76.3389218855725	59	2016	"Alliance"	"Yes"
"Liverpool"	60.2	84.9067245119306	85.1105527638191	6.77433002066608	11.8687740028456	73.8085702843412	5.79041175055997	403.824945295405	67.9566331198536	59	2016	"Russell"	"No"
"Bath Spa"	60	89.8883863965268	88.6784938450398	5.10455085936655	19.0376280527852	56.7592592592593	5.72733516025577	317.483846731781	77.9933284989122	61	2016	"Million"	"No"
"Northampton"	60	89.467792615868	89.7874345549738	4.96000859708379	20.2594785649104	60.1636249213342	6.57456787035905	283.145669291339	78.4206498951782	61	2016	"None"	"No"
"Bournemouth"	59.7	82.4243408837728	80.5466023022651	5.86069826242348	17.9776002020258	63.6525612472161	7.01322404115448	328.779770444766	64.2982456140351	63	2016	"Alliance"	"Yes"
"Edinburgh Napier"	59.3	85.9707910241945	84.9764292878636	3.80742140967636	20.3902375549785	61.284046692607	7.46619582929278	347.585321100917	71.8121175644498	64	2016	"Million"	"Yes"
"De Montfort"	59.2	85.471876889994	86.7058349018553	3.92333662089371	18.7465684835078	69.6551724137931	6.32943522104214	307.179173553719	73.8464351005485	65	2016	"None"	"Yes"
"Stirling"	59.2	87.6333827648707	87.7279314888011	4.11571958582357	14.9785826354773	70.2347417840376	4.03880765316937	375.55855855856	68.8018196202532	65	2016	"None"	"No"
"Brighton"	59	85.0334293948127	82.1314662273476	4.1488289352279	17.2534058174745	64.7717099373321	5.87662274026505	321.68426966292	69.3913301271494	67	2016	"None"	"Yes"
"Northumbria"	58.9	84.3921901528014	84.4472955974843	3.74647597874417	17.9538283356152	62.2672872340426	6.16500650688645	363.040839350181	70.4242058097971	68	2016	"Alliance"	"Yes"
"Edge Hill"	58.6	88.249406175772	85.5004524886878	4.24155205040357	15.664084333026	58.5057471264368	4.68599281682914	319.30916496945	76.4594570135747	69	2016	"None"	"No"
"Chester"	58.6	89.2807988450433	88.8661531054405	4.92769069365589	16.4539425526616	66.7537557152188	4.02302147617872	299.38921901528	77.8578176209755	69	2016	"None"	"No"
"Chichester"	58.4	90.6327422880738	89.6815533980583	3.18794310722101	17.4515640729827	60.4819277108434	5.79336208134966	310.094501718213	72.6130097087379	71	2016	"Guild"	"No"
"Bradford"	58.3	80.884126984127	81.9181193872161	4.98580403669544	17.912093474214	71.875	7.0020021251473	313.80700676091	66.7818201103097	72	2016	"None"	"No"
"Derby"	58.1	87.2829104315767	85.797221016066	5.31958570453505	15.3882663663172	54.7683923705722	4.62361388553315	289.95674904943	75.06640625	73	2016	"None"	"No"
"Sheffield Hallam"	57.9	85.6585449553878	84.5580517921454	5.12949341860984	17.3908635205737	58.5507980744869	6.62376217411221	319.104077669904	71.6209300728121	74	2016	"Alliance"	"Yes"
"Winchester"	57.6	88.8749775139414	89.0575539568345	2.86815383632478	16.9358868384798	52.3702031602709	6.82386569430883	307.587231352718	73.1572661870504	75	2016	"Guild"	"No"
"Queen Margaret"	57.5	87.2184317718941	86.5295315682281	2.66571428571429	19.0519672495929	63.6568848758465	6.7877332348051	341.059602649007	68.1361598043213	76	2016	"None"	"No"
"Manchester Met"	57.3	83.6858085250338	83.3044654939107	3.33028787785254	17.8481639396233	60.7456661125623	5.63127353540342	346.866572786481	72.2767920751773	77	2016	"Alliance"	"Yes"
"Roehampton"	57.2	87.4776661083194	85.6022346368715	5.97692415494421	16.8318187973081	57.4198988195616	4.82640733562883	285.859016393443	74.1877519032691	78	2016	"None"	"No"
"Hertfordshire"	56.9	83.9531327786075	83.4755264655663	4.71454451881379	17.7792393066705	68.4061488673139	6.18918167506254	318.530026109661	65.7016225448335	79	2016	"Alliance"	"Yes"
"UWE Bristol"	56.9	85.3043981481481	83.8580032429928	3.38870562532854	19.6778432826883	68.5981855428739	6.70994375902115	324.30168196166	66.332297704614	79	2016	"Alliance"	"Yes"
"Middlesex"	56.5	83.8077909802862	84.9016482031883	7.05480925109773	18.5504751756489	56.9381107491857	5.60473878438816	269.869565217392	74.8050613745741	81	2016	"Million"	"Yes"
"Ulster"	56.4	85.8680099284568	87.421605839416	3.80672702576354	16.5658242674636	58.6693548387097	5.85507775476089	306.24013859275	73.4541096691219	82	2016	"None"	"Yes"
"Staffordshire"	56	86.8468127991938	84.641129032258	6.21330977265607	16.9590135549174	55.6853103872157	4.88919593656325	274.085956416465	72.9359233097881	83	2016	"Million"	"Yes"
"Leeds Trinity"	55.9	88.0424592391304	86.1970108695652	3	21.7111298857594	65.6521739130435	5.47156617071261	283.659781287971	79.1667119934729	84	2016	"Guild"	"No"
"Central Lancashire"	55.6	84.6460073504845	84.1862253426948	5.81301854723988	17.3243909808489	59.9198396793587	4.61000681199379	315.532644903398	74.949756130153	85	2016	"None"	"Yes"
"Birmingham City"	54.6	85.7342006113599	83.7430278884462	4.74905517762661	20.4367667368501	63.1601182931981	6.1564282278568	299.58834486429	73.9569500597916	86	2016	"Million"	"Yes"
"Plymouth"	53.3	87.4260626478388	85.8994269340974	5.29477763121418	17.6921415689947	58.0614805520703	5.96220218674656	312.115170278638	72.1743666169895	87	2016	"Alliance"	"Yes"
"Anglia Ruskin"	52.9	88.7062024960119	85.0345086271568	7.66013445230458	19.0436653991704	58.0952380952381	4.38881233797618	253.743638435245	75.2504513993379	88	2016	"Million"	"Yes"
"Glasgow Caledonian"	52.4	83.0920601112294	83.4057765151515	4.01570222405272	21.1897645211158	67.0647391577624	5.28651978698966	372.13684871312	65.785105173394	89	2016	"None"	"No"
"Salford"	51.9	81.8156156573733	78.5880389429763	4.484947704199	16.9910437567189	56.7111111111111	4.79058355849561	334.277250113071	70.8924515698063	90	2016	"Alliance"	"No"
"Teesside"	51.6	85.0257644394111	83.7453310696095	5.5438315539739	17.6945701887082	57.9518072289157	4.06871134640837	305.52668360864	74.5684675501189	91	2016	"Alliance"	"Yes"
"Greenwich"	51.2	84.5668889760691	85.0436146846564	3.55509924709103	19.5958957632109	49.1938507686539	6.23518171743035	314.369565217391	72.7747062888735	92	2016	"Alliance"	"Yes"
"Abertay Dundee"	51	84.9993485342019	84.5611979166667	2.60010551305724	21.3626247181819	61.660777385159	7.47459489151332	337.88622754491	64.7031331592689	93	2016	"Million"	"No"
"West London"	50.6	82.628285933897	81.5745073891626	5.35344701938493	17.2698408771485	67.6923076923077	4.65761291323917	258.482428115016	71.9175384615385	94	2016	"Million"	"Yes"
"Cardiff Met"	50.4	85.6666135204081	86.4878826530612	3.76142131979695	19.0065590193949	58.810888252149	4.70354011470763	317.127659574468	75.7708120531154	95	2016	"Alliance"	"No"
"Cumbria"	49.2	88.2322264319144	86.7869875222816	2.86561051837483	22.3159646375517	62.4777183600713	5.76781232951446	298.772942289499	78.5094507845935	96	2016	"Million"	"No"
"Kingston"	49.1	80.813143092331	78.4551440329218	4.63547189854665	19.3621932864998	54.3394911118857	4.97758961321045	299.477264590047	67.218332692202	97	2016	"Alliance"	"Yes"
"Bedfordshire"	49	84.9791082309701	84.358746130031	5.3798103182879	18.3405417531186	59.4822396146899	4.94656681677883	229.205531453362	75.2470369509645	98	2016	"Million"	"No"
"University Campus Suffolk"	48.8	84.1662830840046	82.3060989643268	NA	18.2688271823989	56.1779242174629	2.41249379104267	334.55500333043	73.4524741081703	99	2016	"None"	"No"
"St Mary's, Twickenham"	48.6	89.6136585365854	86.953125	3.10396179391797	20.6260150875362	62.962962962963	3.8623633037996	288.875479978058	72.8818128540731	100	2016	"Guild"	"No"
"Canterbury Christ Church"	48.4	87.0954397714961	85.6678486997636	3.02414330218068	18.3930022593068	59.7014925373134	5.32107142857143	279.483900226757	72.3211067193676	101	2016	"Million"	"No"
"Westminster"	48.4	79.3096546985055	81.1806318681319	4.09565085859284	19.9156737753842	50.1884760366182	6.805497517931	311.23589574398	65.6446843625361	101	2016	"None"	"Yes"
"Glyndŵr"	47.8	80.5622844001533	77.8052147239264	3.25907807934577	23.3498087752656	64.9373881932022	4.91713640088401	261.191747960978	74.5977825685248	103	2016	"None"	"No"
"Bolton"	47	82.1388482899737	78.7204678362573	4.38780311255881	17.9018936671466	57.7741407528642	3.38443002780352	286.910755148741	73.052717900656	105	2016	"Million"	"No"
"East London"	46.5	84.2546223898445	81.8897492625369	6.69067009202567	23.5639679381188	50.573936529372	5.08620747369478	280.329207920792	73.0267001032601	106	2016	"Million"	"Yes"
"York St John"	46.2	85.4035398230088	83.4343036978757	3.78012662302822	20.645636266421	64.7058823529412	4.64609936688486	291.641410842587	68.5199748348537	107	2016	"Guild"	"No"
"Worcester"	45.5	85.0265287769784	82.6378378378378	2.03594792201129	19.0671838676865	61.0849056603774	5.43829394299085	301.404778636683	69.114872164206	108	2016	"Guild"	"No"
"Sunderland"	44.8	85.0742587601078	83.17970858068	6.5297167242816	19.6767764093858	51.2896094325718	4.37254242741756	294.313153549807	72.8707762064126	109	2016	"Million"	"Yes"
"Aberystwyth"	44.2	85.7665584096053	82.3752463539614	4.42048799025605	17.9472935194658	53.3185840707965	3.9208309429224	312.336901408452	65.3448873483536	110	2016	"None"	"No"
"London South Bank"	43.3	82.1291321035038	79.3097476496784	4.19396248534584	17.2291031930236	49.1295938104449	4.80823743185948	247.59079497908	67.4856490217499	111	2016	"None"	"No"
"Southampton Solent"	42.6	80.5689462453003	79.7277529459569	3.68676956812643	18.3445341548536	50.8021390374332	3.80254033933583	276.151305274374	69.0586414725525	114	2016	"Guild"	"No"
"West of Scotland"	42.4	83.1422057566258	83.9720638540479	3.69073503747049	21.0600522757573	58.3588957055215	5.92992849130678	305.021126760563	65.8711817869809	115	2016	"Million"	"No"
"Leeds Beckett"	40.4	82.2084959968239	81.2425205189304	3.29171645506597	20.9123992523629	54.7949429540549	4.54283669405029	287.736842105263	68.0433607209117	116	2016	"None"	"Yes"
"London Met"	32.3	77.623742773422	75.9110196326789	2.79468363736617	19.6459963661461	47.0543806646526	4.21080220911729	238.368520263902	65.5274341896606	118	2016	"Million"	"Yes"
"Bucks New University"	31.3	79.274430625101	74.9580103359173	2.46013349038084	21.760432817735	53.4833869239014	4.0605160390516	257.898625429552	67.8610318900701	119	2016	"None"	"No"
